#xr #xi #yr #yi
+0.18024844621782221132 +0.15694753425176632966 +0.87386024953365182277 -0.59701139740098185804
-0.29907966618608439191 +0.29134521128021972913 +0.69245464683892410385 +0.18048162856136951149
-0.21890114994120701830 +0.16346439646256505362 +0.58846678811555341859 +0.16947355534364061391
+0.49208482383652030201 +0.81917906209809299156 -0.47990927739198130375 +1.03383728759797066665
+0.59342885046037552321 +0.36867755033020066513 +0.64515462757133756888 -0.43913868510531450795
+0.91662091909579190840 +0.95208453686337835009 +0.53209653910783161201 +0.10785396763800236819
+0.28663779617594675742 +0.22801315561250046215 +0.38276930045645074507 -0.43841730314394244949
-0.40287799171086269290 -0.73932447383057242618 +0.26563481676752287441 +0.09101914305178460118
-0.23305189749399990440 +0.73417775232332682656 -0.68198566349601819070 +0.06121777117656757028
+0.98670711650083542388 +0.62712611857722322384 +1.53603316967217451428 +1.28803983845704062006
-0.70689477083584129069 +0.75309306211519411178 -1.53913309205802084634 +0.57646162882151674722
-0.17454543191081395292 +0.17018271810696239399 -0.50064891851517079324 +0.87979209069965547130
+0.53498821359947434928 -0.94040348472751644771 +1.34151726443261742894 -0.56467564959328764296
+0.34841766239521532178 -0.82940888056739114909 +0.90246856090445537468 -1.38626557053344279247
+0.95887530558135103398 -0.19779558856550583101 +0.20513424093855192609 -1.17832473077381361115
-0.62437113623570672516 -0.16699349140671415626 -0.30586790620425263754 +0.80310786740418960150
+0.69361180331582961145 -0.75395893165274818770 -0.51336335709800740013 +0.91090646590451451736
+0.99153431302500849576 -0.11086358271885021765 -1.18734815035155949481 +0.64626676161010165877
+0.80736793805676043689 +0.00600915888107556029 -0.88789349448493071204 +0.53820584841987872959
-0.97199410122850160576 +0.21465822549987767509 +1.55319091825486377267 -0.31075796393909138615
+0.05172577711096204567 -0.80781623543551517308 +1.21494865050019185126 +0.44886481736633015993
-0.38452437998796029639 -0.84423056922537598190 +2.21645902183563414667 -0.08388357535194002068
+0.09613150428050398766 -0.66643045875644291165 +0.89926174997416663537 +0.16628388848751998741
+0.66851280847838556731 +0.83034361688235702736 -1.74852533468517790105 +0.74457727315344279795
-0.44893376600201828630 -0.67295998114675925628 +1.40713773346387505114 -0.21588186854850113794
+0.54932605317133909040 +0.66091371987981739622 -0.11846719452009622786 -0.42238527481857318646
-0.83223832122217955565 -0.17663143329367736456 +0.81098653207901028050 -0.47159250182036782650
-0.32610348660435684032 +0.70960937259269307731 -0.53271801502612847745 +0.17367347517332709650
+0.80652905083314307966 +0.37572783513422880475 -0.73863701378079393844 +1.12265374861511602056
+0.55405089850924005290 -0.55685668996605164338 +0.01955590308179214198 +0.34086256915503454490
-0.75374106464279910789 -0.98052914220830778014 -1.28271204862791798895 -1.37854142043784877458
+0.31850323003145408762 +0.97010135881090375776 +0.70292109928260149143 +1.29919155521365148331
+0.18496931764111468333 +0.29429420558413288411 +1.03691123135331597638 -0.32533777301643729274
+0.65927260779849339301 +0.00395579497810127911 +0.44054664611150662346 -0.91995284438788393899
-0.12843554830264225508 +0.29597291222881239037 -0.69438269027109478237 +0.53277719008904433906
-0.18934775927987268496 -0.75615253467503862339 -0.39492226880023739710 +0.05076644676376940168
+0.43904062830623291624 +0.46482276156117130483 +1.27714142312648171185 +1.37262548617060398115
+0.07137281674546436250 -0.57588617860260482573 +0.98689931614875536781 -0.49042301041024827235
+0.54452679585854690814 +0.77281224642531176627 -0.42020195108440550058 +1.12393303977435143892
-0.71434343502665642589 +0.60897692092669553077 -1.34658116674234840104 +1.18784549175622666795
+0.99601085882679063488 -0.45705853359050241380 +0.08812395087559310447 -0.63904004938400404967
+0.17813831289684101122 +0.59747356241114579767 -0.38412391657734690220 -0.20402066592426315594
-0.72314514614658786940 -0.18839021857922566561 -1.71736019709584630810 -0.71990619542300904321
